currency_id,currency_name,currency_code,date,buying,selling
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-20,35.0056,35.3557
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-20,40.3522,40.7557
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-20,15.0891,15.24
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-23,0.667,0.6737
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-23,55.4409,55.9953
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-23,67.3163,67.9895
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-23,62.1117,62.7328
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-23,5.0454,5.0958
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-23,5.016,5.0662
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-23,7.8638,7.9425
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-23,0.3105,0.3198
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-23,0.3697,0.3734
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-23,14.7791,14.9269
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-23,40.4767,40.8814
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-23,34.9721,35.3218
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-23,15.0938,15.2447
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-23,58.6731,59.2598
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-23,72.6442,73.3707
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-23,2.8988,2.9278
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-23,7.5763,7.652
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-23,179.2238,181.016
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-23,0.3699,0.3809
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-24,7.8752,7.954
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-24,0.3106,0.3199
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-24,4.9813,5.0311
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-24,0.6669,0.6736
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-24,62.109,62.7301
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-24,67.4283,68.1026
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-24,55.4509,56.0054
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-24,5.0204,5.0706
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-24,0.3693,0.3804
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-24,179.2838,181.0767
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-24,40.4132,40.8173
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-24,7.5786,7.6544
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-24,2.91,2.9391
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-24,72.7239,73.4511
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-24,0.3697,0.3734
